LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL3301,A52 between A6514 and A6464 (AL3301),A6514,A6464,454519,338826,452778,338224
AL3302,A52 between A6464 and A6514 (AL3302),A6464,A6514,452726,338240,454469,338872
AL3303,A52 between A606 and A6011 (AL3303),A606,A6011,459230,334146,460502,337547
AL3304,A52 between A6011 and A606 (AL3304),A6011,A606,460544,337577,459332,334165
AL3305,A46 between A52 and A606 (AL3305),A52,A606,468821,339690,465287,328726
AL3306,A46 between A606 and A52 (AL3306),A606,A52,465289,328803,468750,339639
AL3307,A52 between A46 and A6011 (AL3307),A46,A6011,468786,339610,460544,337577
AL3308,A52 between A6011 and A46 (AL3308),A6011,A46,460502,337547,468773,339692
AL3309,A1 between A607 and A52 (AL3309),A607,A52,489954,334184,488768,336538
AL331,A1 between A47 and A6118 (AL331),A47,A6118,507529,299754,507870,298947
AL3311,A52 between A1 and A46 (AL3311),A1,A46,488783,336534,468786,339610
AL3312,A52 between A46 and A1 (AL3312),A46,A1,468773,339692,488783,336534
AL3327,A556 between A50 and M6 J19 (AL3327),A50,M6 J19,372721,381678,372367,379443
AL3328,A556 between M6 J19 and A50 (AL3328),M6 J19,A50,372201,379520,372713,381684
AL3329,A556 between A5034 and A50 (AL3329),A5034,A50,373109,383176,372721,381678
AL333,A1 between A6118 and A605 (AL333),A6118,A605,507870,298947,513163,295566
AL3330,A556 between M56 J7 and A5034 (AL3330),M56 J7,A5034,374064,385255,373109,383176
AL3335,A47 between A1075 and A1065 (AL3335),A1075,A1065,599249,312203,581946,310145
AL3337,A47 between A1074 and A1075 (AL3337),A1074,A1075,615554,310593,599249,312203
AL3338,A47 between A1075 and A1074 (AL3338),A1075,A1074,599249,312219,615563,310602
AL334,A1 between A605 and A6118 (AL334),A605,A6118,513143,295554,507839,298950
AL3345,A1033 between A63 and A1033 (AL3345),A63,A1033,511280,429121,516588,428848
AL3346,A1033 between A1033 and A63 (AL3346),A1033,A63,516588,428848,511338,429155
AL3347,A160 between A180 and A1077 (AL3347),A180,A1077,513646,414444,513917,415558
AL3348,A160 between A1077 and A1173 (AL3348),A1077,A1173,513917,415558,516972,416610
AL3349,A160 between A1173 and A1077 (AL3349),A1173,A1077,516986,416557,513917,415558
AL335,A1 between A605 and A1(M) J17 (AL335),A605,A1(M) J17,513163,295566,513920,294515
AL3352,A1 between A1068 and A1167 (AL3352),A1068,A1167,419811,612057,400144,649417
AL3353,A1 between A1167 and A1068 (AL3353),A1167,A1068,400144,649450,419811,612057
AL3354,A1 between A698 and A1167 (AL3354),A698,A1167,397504,651504,400144,649450
AL3355,A1 between A1167 and A698 (AL3355),A1167,A698,400144,649417,397503,651437
AL3356,A1 between A6105 and A698 (AL3356),A6105,A698,398455,654099,397504,651504
AL3357,A1 between A698 and A6105 (AL3357),A698,A6105,397503,651437,398444,654111
AL3358,A1 between A1167 and A6105 (AL3358),A1167,A6105,399032,654771,398455,654099
AL3359,A1 between A6105 and A1167 (AL3359),A6105,A1167,398444,654111,399000,654722
AL336,A1 between A1(M) J17 and A605 (AL336),A1(M) J17,A605,513886,294521,513143,295554
AL3360,A585 between A587 and A585 (AL3360),A587,A585,333469,447486,333882,447815
AL3361,A585 between A586 and A585 (AL3361),A586,A585,339324,439678,337707,439473
AL3362,A585 between A586 and M55 J3 (AL3362),A586,M55 J3,339324,439678,341566,434875
AL3363,A585 between M55 J3 and A586 (AL3363),M55 J3,A586,341449,434899,339324,439678
AL3364,A585 between A585 and A586 (AL3364),A585,A586,337707,439473,339324,439678
AL3365,A585 between A588 and A586 (AL3365),A588,A586,336438,440267,337707,439473
AL3366,A585 between A586 and A588 (AL3366),A586,A588,337707,439473,336434,440262
AL3367,A585 between A588 and A588 (AL3367),A588,A588,335436,440568,336438,440267
AL3368,A585 between A588 and A588 (AL3368),A588,A588,336434,440262,335496,440561
AL3369,A585 between A588 and A587 (AL3369),A588,A587,335496,440561,333469,447486
AL3370,A585 between A587 and A588 (AL3370),A587,A588,333504,447505,335436,440568
AL3371,A585 between A585 and A587 (AL3371),A585,A587,333882,447815,333504,447505
AL3377,,,,,,,
AL3378,A428 between A1 and A1198 (AL3378),A1,A1198,516933,257964,529597,260671
AL3379,A57 between A6018 and A628 (AL3379),A6018,A628,399608,395804,400353,396011
AL3380,A57 between A6018 and M67 (AL3380),A6018,M67,399608,395804,398399,395336
AL3381,A57 between M67 and A6018 (AL3381),M67,A6018,398395,395377,399608,395804
AL3382,A57 between A628 and A6018 (AL3382),A628,A6018,400353,396011,399608,395804
AL3383,A628 between A6024 and A57 (AL3383),A6024,A57,409061,399816,400353,396011
AL3384,A628 between A6024 and A616 (AL3384),A6024,A616,409061,399816,419817,401411
AL3385,A628 between A616 and A6024 (AL3385),A616,A6024,419842,401386,409061,399816
AL3386,A616 between A628 and A6102 (AL3386),A628,A6102,419817,401411,429250,398515
AL3387,A616 between A6102 and A628 (AL3387),A6102,A628,429250,398515,419842,401386
AL3388,A616 between A6102 and A629 (AL3388),A6102,A629,429250,398515,431048,398700
AL3389,A616 between A629 and A6102 (AL3389),A629,A6102,431048,398700,429250,398515
AL3390,A616 between M1 J35A and A61 (AL3390),M1 J35A,A61,435465,398096,433732,399016
AL3391,A616 between A629 and A61 (AL3391),A629,A61,431048,398700,433668,399040
AL3392,A616 between A61 and A629 (AL3392),A61,A629,433732,399016,431048,398700
AL3393,A616 between A61 and M1 J35A (AL3393),A61,M1 J35A,433668,399040,435465,398096
AL3394,A61 between M1 J36 and A616 (AL3394),M1 J36,A616,434922,400040,433728,399049
AL3395,A61 between A616 and M1 J36 (AL3395),A616,M1 J36,433668,399040,434866,400128
AL34,A34 between A272 and A303 (AL34),A272,A303,446303,133765,446277,141963
AL3425,A168 between A1(M) J49 and A167 (AL3425),A1(M) J49,A167,436903,472879,440589,476108
AL3427,A64 between A1237 and A169 (AL3427),A1237,A169,464117,455277,480008,473355
AL3428,A64 between A169 and A1237 (AL3428),A169,A1237,480007,473343,464159,455390
AL3429,A64 between A169 and A1039 (AL3429),A169,A1039,480008,473355,502378,479476
AL343,A14 between M11 and A1096 (AL343),M11,A1096,540628,262228,530246,268886
AL3430,A64 between A1039 and A169 (AL3430),A1039,A169,502412,479493,480007,473343
AL3431,A64 between A64 and A1039 (AL3431),A64,A1039,503281,484639,502412,479493
AL3432,A64 between A1039 and A64 (AL3432),A1039,A64,502378,479476,503272,484613
AL3439,A46 between A1434 and A57 (AL3439),A1434,A57,492042,365291,495317,372778
AL344,A14 between A1096 and M11 (AL344),A1096,M11,530249,268899,540620,262256
AL3440,A46 between A57 and A1434 (AL3440),A57,A1434,495334,372751,492060,365323
AL3441A,A46 between A1133 and A1434 (AL3441A),A1133,A1434,482268,356811,492040,365270
AL3442A,A46 between A1434 and A1133 (AL3442A),A1434,A1133,492060,365323,482329,356850
AL3453A,A421 between A428 and A1 (AL3453A),A428,A1,510541,251588,515924,255423
AL3454A,A421 between A1 and A428 (AL3454A),A1,A428,515998,255398,510587,251613
AL3455,A428 between A1198 and A1 (AL3455),A1198,A1,529656,260652,516938,257933
AL3456A,A428 between A1198 and A1303 (AL3456A),A1198,A1303,529597,260671,539218,259636
AL3457A,A428 between A1303 and A1198 (AL3457A),A1303,A1198,539228,259626,529656,260652
AL3478,A5 between A5183 and A505 (AL3478),A5183,A505,509312,214616,501897,221858
AL3479,A5 between A5120 and A505 (AL3479),A5120,A505,501090,222760,501893,221869
AL3480,A5 between A505 and A5120 (AL3480),A505,A5120,501897,221858,501090,222735
AL3481,A5 between A5120 and A505 (AL3481),A5120,A505,501090,222735,499799,224101
AL3482,A5 between A505 and A5120 (AL3482),A505,A5120,499795,224151,501090,222760
AL3483,A5 between A505 and A4012 (AL3483),A505,A4012,499799,224101,497301,226768
AL3484,A5 between A4012 and A505 (AL3484),A4012,A505,497301,226768,499795,224151
AL3485,,,,,,,
AL3486,A5 between A4146 and A4012 (AL3486),A4146,A4012,489307,233577,497301,226768
AL3487,A5 between A4012 and A4146 (AL3487),A4012,A4146,497301,226768,489357,233455
AL3488,,,,,,,
AL3489,,,,,,,
AL349,A428 between A1303 and M11 J14 (AL349),A1303,M11 J14,539218,259636,541509,261185
AL3490,A46 between A52 and A6097 (AL3490),A52,A6097,468750,339639,469960,341538
AL3491,A46 between A6097 and A52 (AL3491),A6097,A52,470084,341585,468821,339690
AL3492,A46 between A617 and A6097 (AL3492),A617,A6097,479394,354644,470084,341585
AL3493,A46 between A6097 and A617 (AL3493),A6097,A617,469960,341538,479320,354650
AL3494,A46 between A617 and A1 (AL3494),A617,A1,479320,354650,481351,355860
AL3495,A46 between A1 and A617 (AL3495),A1,A617,481373,355857,479394,354644
AL3496A,A1 between A46 and A52 (AL3496A),A46,A52,481363,355871,488783,336534
AL3497A,A1 between A52 and A46 (AL3497A),A52,A46,488768,336538,481361,355846
AL3498,A46 between A1 and A1133 (AL3498),A1,A1133,481351,355860,482269,356812
AL3499,A46 between A1133 and A1 (AL3499),A1133,A1,482323,356846,481373,355857
AL350,A428 between M11 J14 and A1303 (AL350),M11 J14,A1303,541531,261179,539228,259626
AL3500,A1 between A46 and A6075 (AL3500),A46,A6075,481361,355846,473779,371107
AL3505,A5 between A495 and A483 (AL3505),A495,A483,330445,330726,330871,328597
AL3506A,A5 between A483 and A458 (AL3506A),A483,A458,330871,328597,344775,313527
AL3507A,A5 between A458 and A483 (AL3507A),A458,A483,344745,313512,330892,328555
AL3508,A458 between A5 and A458 (AL3508),A5,A458,344756,313481,330993,312775
AL3509,A458 between A458 and A5 (AL3509),A458,A5,330993,312775,344745,313513
AL3510,A483 between A483 and A495 (AL3510),A483,A495,326688,320830,328222,324096
AL3511,A483 between A495 and A483 (AL3511),A495,A483,328222,324096,326688,320830
AL3512,A5 between A483 and A495 (AL3512),A483,A495,330892,328555,330454,330692
AL3513,A5 between A495 and A5 (AL3513),A495,A5,330454,330692,329997,337280
AL3514,A5 between A5 and A495 (AL3514),A5,A495,329997,337280,330445,330726
AL3515,A483 between A5 and A495 (AL3515),A5,A495,330892,328555,328222,324096
AL3516,A483 between A495 and A5 (AL3516),A495,A5,328222,324096,330847,328563
AL3517,A49 between A5 and A489 (AL3517),A5,A489,348854,309681,343290,284774
AL3518,A49 between A489 and A5 (AL3518),A489,A5,343290,284774,348802,309652
AL3519,A49 between A4113 and A489 (AL3519),A4113,A489,348075,276970,343290,284774
AL3520,A49 between A4117 and A4113 (AL3520),A4117,A4113,352273,275552,348075,276970
AL3521,A49 between A4113 and A4117 (AL3521),A4113,A4117,348075,276970,352260,275598
AL3522,A49 between A4117 and A456 (AL3522),A4117,A456,352260,275598,352054,268466
AL3523,A49 between A456 and A4117 (AL3523),A456,A4117,352054,268466,352273,275552
AL3524,A49 between A4112 and A456 (AL3524),A4112,A456,351375,260892,352054,268466
AL3525,A49 between A44 and A4112 (AL3525),A44,A4112,350217,259612,351375,260892
AL3526,A49 between A4112 and A44 (AL3526),A4112,A44,351375,260892,350228,259629
AL3527,A49 between A44 and A44 (AL3527),A44,A44,350228,259629,350481,258447
AL3528,A49 between A417 and A44 (AL3528),A417,A44,351168,253085,350478,258416
AL3529,A49 between A44 and A44 (AL3529),A44,A44,350478,258416,350217,259612
AL3530,A49 between A44 and A417 (AL3530),A44,A417,350481,258447,351168,253085
AL3531,A49 between A4103 and A417 (AL3531),A4103,A417,350601,242095,351168,253085
AL3532,A49 between A417 and A4103 (AL3532),A417,A4103,351168,253085,350627,242125
AL3533,A49 between A438 and A4103 (AL3533),A438,A4103,350686,240055,350601,242095
AL3563,A69 between A689 and A69 (AL3563),A689,A69,352218,559930,343218,555924
AL3564,A69 between A69 and A689 (AL3564),A69,A689,343227,556044,352189,559932
AL3565,A69 between A689 and A689 (AL3565),A689,A689,352189,559932,354449,560829
AL3566,A69 between A689 and A689 (AL3566),A689,A689,354449,560829,352218,559930
AL3567,A69 between A689 and A6071 (AL3567),A689,A6071,354449,560829,354981,561538
AL3568,A69 between A6071 and A689 (AL3568),A6071,A689,354981,561538,354449,560829
AL3569A,A69 between A686 and A6071 (AL3569A),A686,A6071,384977,564297,354981,561538
AL357,A5 between A422 and A509 (AL357),A422,A509,481995,239465,483611,238407
AL3570A,A69 between A6071 and A686 (AL3570A),A6071,A686,354981,561538,384977,564297
AL3571A,A69 between A6079 and A686 (AL3571A),A6079,A686,392990,565532,384977,564297
AL3572A,A69 between A686 and A6079 (AL3572A),A686,A6079,384977,564297,393022,565537
AL358,A5 between A509 and A422 (AL358),A509,A422,483687,238315,482169,239395
AL36,A34 between A33 and M3 J9 (AL36),A33,M3 J9,449358,131630,449710,130565
AL3606A,A590 between A5087 and C6011 (AL3606A),A5087,C6011,329134,478387,321072,474093
AL3607A,A590 between C6011 and A5087 (AL3607A),C6011,A5087,321042,474111,329128,478394
AL3608,A590 between A5092 and A5087 (AL3608),A5092,A5087,331680,482680,329134,478387
AL3609,A590 between A5087 and A5092 (AL3609),A5087,A5092,329128,478394,331646,482662
AL361,A5 between A509 and A421 (AL361),A509,A421,483611,238407,486564,235573
AL3612A,A590 between A5074 and A592 (AL3612A),A5074,A592,347129,485290,337111,486118
AL3613A,A590 between A592 and A5074 (AL3613A),A592,A5074,337097,486142,347122,485306
AL3623,A595 between A5086 and A5094 (AL3623),A5086,A5094,300723,511580,298314,517179
AL3624,A595 between A5094 and A5094 (AL3624),A5094,A5094,298314,517179,298037,519586
AL3625A,A595 between A597 and A5094 (AL3625A),A597,A5094,301091,524236,298037,519585
AL3626A,A595 between A596 and A597 (AL3626A),A596,A597,301647,524817,301091,524236
AL3627A,A595 between A596 and A66 (AL3627A),A596,A66,301606,524801,305100,529103
AL3628A,A595 between A66 and A596 (AL3628A),A66,A596,305126,529126,301647,524817
AL3629,A66 between A595 and A595 (AL3629),A595,A595,310149,531004,305126,529127
AL3630,A66 between A595 and A595 (AL3630),A595,A595,305100,529104,310130,531033
AL3631,A66 between A5086 and A595 (AL3631),A5086,A595,311570,529486,310149,531004
AL3632,A66 between A595 and A5086 (AL3632),A595,A5086,310130,531033,311522,529530
AL3633,A66 between A5086 and A5271 (AL3633),A5086,A5271,311522,529530,326362,524458
AL3634,A66 between A5271 and A5086 (AL3634),A5271,A5086,326424,524396,311570,529486
AL3635,A66 between A591 and A5271 (AL3635),A591,A5271,328501,523896,326424,524396
AL3636,A66 between A5271 and A591 (AL3636),A5271,A591,326362,524458,328501,523896
AL3637,A66 between A5091 and A591 (AL3637),A5091,A591,338876,527213,328501,523896
AL3638,A66 between A591 and A5091 (AL3638),A591,A5091,328501,523896,338876,527213
AL3639,A66 between A592 and A5091 (AL3639),A592,A5091,349722,528420,338876,527213
AL364,A5 between A4146 and A421 (AL364),A4146,A421,488548,235157,486692,235561
AL3640,A66 between A5091 and A592 (AL3640),A5091,A592,338876,527213,349634,528443
AL365,A5 between A421 and A4146 (AL365),A421,A4146,486564,235573,488558,235171
AL3655,A663 between M60 J21 and A669 (AL3655),M60 J21,A669,389474,403375,390422,405511
AL3656,A663 between A669 and M60 J21 (AL3656),A669,M60 J21,390437,405505,389499,403380
AL3657,A663 between A669 and A627(M) (AL3657),A669,A627(M),390422,405511,390773,406453
AL3658,A663 between A627(M) and A669 (AL3658),A627(M),A669,390783,406443,390437,405505
AL367,A5 between A505 and A5183 (AL367),A505,A5183,501893,221869,509306,214640
AL368,A43 between M1 J15A and A5 (AL368),M1 J15A,A5,472739,257075,468782,249530
AL369,A43 between A5 and M1 J15A (AL369),A5,M1 J15A,468727,249506,472702,257046
AL3712,A46 between A422 and A435 (AL3712),A422,A435,417309,255561,408642,256374
AL3713,A46 between A435 and A422 (AL3713),A435,A422,408597,256342,417279,255555
AL3714,A46 between A3400 and A422 (AL3714),A3400,A422,418868,256943,417309,255561
AL3715,A46 between A422 and A3400 (AL3715),A422,A3400,417279,255555,418799,256963
AL3716,A46 between A3400 and A439 (AL3716),A3400,A439,418799,256963,423869,260520
AL3717,A46 between A435 and M5 J9 (AL3717),A435,M5 J9,396438,233965,391595,233068
AL3718,A46 between M5 J9 and A435 (AL3718),M5 J9,A435,391627,233184,396372,233968
AL3719,A46 between A435 and A44 (AL3719),A435,A44,396372,233968,403273,241704
AL3720,A46 between A44 and A435 (AL3720),A44,A435,403306,241702,396438,233965
AL3721,A46 between A44 and A44 (AL3721),A44,A44,405209,242928,403306,241702
AL3722,A46 between A44 and A44 (AL3722),A44,A44,403273,241704,405165,242906
AL3723,A46 between A4184 and A44 (AL3723),A4184,A44,404144,246166,405209,242928
AL3724,A46 between A44 and A4184 (AL3724),A44,A4184,405165,242906,404157,246097
AL373,A45 between A428 and A43 (AL373),A428,A43,477285,259643,479471,261368
AL3745,A49 between A4137 and A40 (AL3745),A4137,A40,353577,226014,358747,224381
AL3746,A49 between A466 and A4137 (AL3746),A466,A4137,349632,232388,353577,226014
AL3747,A49 between A4137 and A466 (AL3747),A4137,A466,353577,226014,349632,232388
AL3748,A49 between A465 and A466 (AL3748),A465,A466,350764,239185,349632,232388
AL3749,A49 between A466 and A465 (AL3749),A466,A465,349632,232388,350750,239168
AL375,A45 between A43 and A428 (AL375),A43,A428,479568,261423,477364,259748
AL3775,A27 between A284 and A284 (AL3775),A284,A284,501342,106909,502853,105967
AL3775A,A27 between A284 and A284 (AL3775A),A284,A284,502914,105862,501381,106855
AL3776,A27 between A26 and A2270 (AL3776),A26,A2270,544569,108057,557802,104722
AL3777,A27 between A2270 and A26 (AL3777),A2270,A26,557802,104722,544604,108028
AL3778A,A249 between A2 and A250 (AL3778A),A2,A250,588038,164220,591853,171750
AL3779A,A249 between A250 and A2 (AL3779A),A250,A2,591839,171849,588087,164240
AL3780,A1089 between A126 and Tilbury (AL3780),A126,Tilbury,563413,178248,563339,176504
AL3781,A1089 between Tilbury and A126 (AL3781),Tilbury,A126,563339,176504,563428,178286
AL3782A,A43 between A413 and A422 (AL3782A),A413,A422,468300,246045,459524,236798
AL3783A,A43 between A422 and A413 (AL3783A),A422,A413,459473,236777,468279,246045
AL3784,A417 between A46 and A436 (AL3784),A46,A436,390481,216806,393487,216137
AL3785,A417 between A436 and A46 (AL3785),A436,A46,393492,216111,390550,216748
AL3790,A47 between A149 and A1064 (AL3790),A149,A1064,651839,308460,640603,310323
AL3791,A47 between A1064 and A149 (AL3791),A1064,A149,640560,310336,651854,308482
AL3795,A590 between A5092 and A592 (AL3795),A5092,A592,331646,482662,337098,486142
AL3796,A590 between A592 and A5092 (AL3796),A592,A5092,337111,486119,331680,482680
